,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,FB,GE,GOOG,GOOGL,JPM,MSFT,TSLA,V,AAPL,AMZN,FB,GE,GOOG,GOOGL,JPM,MSFT,TSLA,V
Date,,,,,,,,,,,,,,,,,,,,
2015-08-13,26.432924270629883,529.6599731445312,93.43000030517578,176.02078247070312,656.4500122070312,686.510009765625,56.83702087402344,41.806175231933594,48.50199890136719,71.03369903564453,194143200,2895200,17451800.0,2134431,1810700,1817700,11930600,22627200,23446000.0,5992000
2015-08-14,26.61886215209961,531.52001953125,94.41999816894531,178.0000457763672,657.1199951171875,689.3699951171875,57.12310028076172,42.047725677490234,48.630001068115234,71.31230926513672,171718000,1994800,15929700.0,2702219,1072100,1379900,11248800,21473400,21824000.0,3861500
2015-08-17,26.894323348999023,535.219970703125,93.93000030517578,178.88731384277344,660.8699951171875,694.1099853515625,57.27455520629883,42.33399963378906,50.99800109863281,71.49488067626953,163538800,2581700,18313500.0,2499081,1051700,1234000,10326500,21099700,35883500.0,3473500
2015-08-18,26.74281883239746,535.02001953125,95.16999816894531,177.9318084716797,656.1300048828125,688.72998046875,57.39235305786133,42.568145751953125,52.14400100708008,71.55254364013672,138242800,2071300,22278800.0,2645344,1456100,1385500,10617500,23574100,20975000.0,6325500
2015-08-19,26.400787353515625,532.9199829101562,95.30999755859375,175.61123657226562,660.9000244140625,694.0399780273438,56.879093170166016,41.973793029785156,51.04999923706055,71.48527526855469,193146000,2324000,23251300.0,3789487,2134100,2509700,15198200,31485500,18021500.0,5886900
2015-08-20,25.859046936035156,515.780029296875,90.55999755859375,171.92567443847656,646.8300170898438,679.47998046875,55.482364654541016,41.118289947509766,48.43600082397461,71.05290222167969,274006400,4408000,44598200.0,4503954,2855300,2889900,20972300,36238200,24529000.0,12082300
2015-08-21,24.277429580688477,494.4700012207031,86.05999755859375,167.83059692382812,612.47998046875,644.030029296875,53.51346206665039,38.78590774536133,46.15399932861328,68.40103912353516,513102000,6706500,62778700.0,8463247,4265200,4594000,28235500,70053100,32951000.0,15752200
2015-08-24,23.67140769958496,463.3699951171875,82.08999633789062,162.91648864746094,589.6099853515625,618.1099853515625,50.69475173950195,37.5341682434082,43.77399826049805,65.681884765625,648825200,10097600,83710700.0,11860745,5770300,6489400,36339100,88753700,47908000.0,20950600
2015-08-25,23.813739776611328,466.3699951171875,83.0,158.8213653564453,582.0599975585938,612.469970703125,50.4086799621582,36.44453048706055,44.00600051879883,64.34635925292969,414406400,5679300,52021200.0,7901140,3538000,3571500,31772500,70616600,21636500.0,14485000
2015-08-26,25.179567337036133,500.7699890136719,87.19000244140625,163.8720245361328,628.6199951171875,659.739990234375,52.932899475097656,38.46171569824219,44.96799850463867,67.92060852050781,387098400,6358600,45124300.0,10265567,4235900,4387000,33576800,63408000,24815000.0,12220000
